Name,Gender,Origin
Aad,M,"{""Netherlands"":""4""}"
Aadam,M,"{""Estonia"":""1""}"
Aadje,F,"{""Netherlands"":""1""}"
Ådne,M,"{""Norway"":""1""}"
Aadu,M,"{""Estonia"":""1"",""Latvia"":""2""}"
Aaf,?F,"{""Netherlands"":""1""}"
Aafke,F,"{""Netherlands"":""4""}"
Aafkea,F,"{""East Frisia"":""1""}"
Aafko,M,"{""Netherlands"":""1""}"
Aage,M,"{""Denmark"":""7"",""Norway"":""6"",""Sweden"":""1""}"
Åge,M,"{""Denmark"":""5"",""Norway"":""6""}"
Aagje,F,"{""Belgium"":""1"",""Netherlands"":""2""}"
Aagot,F,"{""Norway"":""1""}"
Ågot,F,"{""Norway"":""2""}"
Aagoth,F,"{""Norway"":""1""}"
Ågoth,F,"{""Norway"":""1""}"
Åke,M,"{""Denmark"":""1"",""Norway"":""1"",""Sweden"":""8""}"
Aalbert,M,"{""Netherlands"":""1""}"
Aalderich,M,"{""East Frisia"":""1""}"
Aalderk,M,"{""East Frisia"":""1""}"
Aaldrik,M,"{""Netherlands"":""1""}"
Aale,M,"{""Finland"":""1""}"
Aaliyah,F,"{""United States"":""1""}"
Aalke,F,"{""Netherlands"":""1""}"
Aalt,M,"{""Netherlands"":""2""}"
Aaltien,F,"{""Netherlands"":""1"",""East Frisia"":""1""}"
Aaltinus,M,"{""East Frisia"":""1""}"
Aaltje,F,"{""Netherlands"":""3"",""East Frisia"":""1""}"
Aaltsje,F,"{""Netherlands"":""1""}"
Aamir,M,"{""Arabia/Persia"":""2""}"
Aant,?F,"{""Netherlands"":""1""}"
Aapeli,M,"{""Finland"":""1""}"
Aapo,M,"{""Finland"":""2""}"
Aappo,M,"{""Finland"":""3""}"
Aard,M,"{""Netherlands"":""1""}"
Aare,M,"{""Estonia"":""7""}"
Aarent,M,"{""Netherlands"":""1""}"
Aarjan,M,"{""Netherlands"":""1""}"
Aarne,M,"{""Finland"":""6"",""Estonia"":""4""}"
Aarni,M,"{""Finland"":""1""}"
Aarno,M,"{""Finland"":""4""}"
Aarnoud,M,"{""Netherlands"":""1""}"
Aarnout,M,"{""Netherlands"":""1""}"
Aaro,M,"{""Finland"":""4"",""Estonia"":""1""}"
Aaron,M,"{""Great Britain"":""2"",""Ireland"":""2"",""United States"":""6"",""Malta"":""4"",""Belgium"":""2"",""Germany"":""2"",""Austria"":""1"",""Switzerland"":""1"",""Israel"":""6""}"
Aarón,M,"{""Spain"":""1""}"
Aarre,M,"{""Finland"":""4""}"
Aarron,M,"{""Great Britain"":""1""}"
Aart,M,"{""Netherlands"":""4""}"
Aarti,F,"{""India, Sri Lanka"":""4""}"
Åsa,F,"{""Denmark"":""1"",""Norway"":""1"",""Sweden"":""8""}"
Aase,F,"{""Denmark"":""6"",""Norway"":""6"",""Sweden"":""1""}"
Åse,F,"{""Denmark"":""5"",""Norway"":""5"",""Sweden"":""3""}"
Åsgeir,M,"{""Norway"":""1""}"
Aashild,F,"{""Norway"":""1""}"
Åshild,F,"{""Norway"":""2""}"
Åslaug,F,"{""Norway"":""1""}"
Åsmund,M,"{""Norway"":""2""}"
Åste,F,"{""Norway"":""1""}"
Aat,M,"{""Netherlands"":""1""}"
Aatami,M,"{""Finland"":""1""}"
Aatos,M,"{""Finland"":""4""}"
Aatto,M,"{""Finland"":""4""}"
Aatu,M,"{""Finland"":""1""}"
Aave,F,"{""Estonia"":""2""}"
Aavo,M,"{""Estonia"":""4""}"
Ab,M,"{""Netherlands"":""4""}"
