Name,Gender,Origin
Aad,M,"{""NL"":""4""}"
Aadam,M,"{""EE"":""1""}"
Aadje,F,"{""NL"":""1""}"
Ådne,M,"{""NO"":""1""}"
Aadu,M,"{""EE"":""1"",""LV"":""2""}"
Aaf,?F,"{""NL"":""1""}"
Aafke,F,"{""NL"":""4""}"
Aafkea,F,"{""East Frisia"":""1""}"
Aafko,M,"{""NL"":""1""}"
Aage,M,"{""DK"":""7"",""NO"":""6"",""SE"":""1""}"
Åge,M,"{""DK"":""5"",""NO"":""6""}"
Aagje,F,"{""BE"":""1"",""NL"":""2""}"
Aagot,F,"{""NO"":""1""}"
Ågot,F,"{""NO"":""2""}"
Aagoth,F,"{""NO"":""1""}"
Ågoth,F,"{""NO"":""1""}"
Åke,M,"{""DK"":""1"",""NO"":""1"",""SE"":""8""}"
Aalbert,M,"{""NL"":""1""}"
Aalderich,M,"{""East Frisia"":""1""}"
Aalderk,M,"{""East Frisia"":""1""}"
Aaldrik,M,"{""NL"":""1""}"
Aale,M,"{""FI"":""1""}"
Aaliyah,F,"{""US"":""1""}"
Aalke,F,"{""NL"":""1""}"
Aalt,M,"{""NL"":""2""}"
Aaltien,F,"{""NL"":""1"",""East Frisia"":""1""}"
Aaltinus,M,"{""East Frisia"":""1""}"
Aaltje,F,"{""NL"":""3"",""East Frisia"":""1""}"
Aaltsje,F,"{""NL"":""1""}"
Aamir,M,"{""SA/IR"":""2""}"
Aant,?F,"{""NL"":""1""}"
Aapeli,M,"{""FI"":""1""}"
Aapo,M,"{""FI"":""2""}"
Aappo,M,"{""FI"":""3""}"
Aard,M,"{""NL"":""1""}"
Aare,M,"{""EE"":""7""}"
Aarent,M,"{""NL"":""1""}"
Aarjan,M,"{""NL"":""1""}"
Aarne,M,"{""FI"":""6"",""EE"":""4""}"
Aarni,M,"{""FI"":""1""}"
Aarno,M,"{""FI"":""4""}"
Aarnoud,M,"{""NL"":""1""}"
Aarnout,M,"{""NL"":""1""}"
Aaro,M,"{""FI"":""4"",""EE"":""1""}"
Aaron,M,"{""GB"":""2"",""IE"":""2"",""US"":""6"",""MT"":""4"",""BE"":""2"",""DE"":""2"",""AT"":""1"",""CH"":""1"",""IL"":""6""}"
Aarón,M,"{""ES"":""1""}"
Aarre,M,"{""FI"":""4""}"
Aarron,M,"{""GB"":""1""}"
Aart,M,"{""NL"":""4""}"
